,tissue,histology,gender,PHA-665752,Irinotecan,17-AAG,TAE684,TKI258,PD-0332991,PLX4720,ZD-6474,Nutlin-3,Sorafenib,L-685458,Erlotinib,Lapatinib,PD-0325901,PF2341066,AEW541,Nilotinib,Topotecan,LBW242,AZD0530,Panobinostat,Paclitaxel,RAF265,AZD6244
8305C,thyroid,carcinoma,F',8.0,0.502822995,0.37540125799999996,2.532259464,8.0,5.339308262,5.313370705,8.0,8.0,8.0,8.0,8.0,8.0,0.544444621,6.236500263,4.95063591,5.635250227999999,0.121891111,8.0,8.0,0.050731044,0.009948481,1.020218134,8.0
8505C,thyroid,carcinoma,F',8.0,0.12469601599999999,0.282174945,6.509103775,7.689665317999999,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.377883375,8.0,8.0,6.852528572000001,0.08654926,8.0,8.0,0.06885213400000001,0.010207787,1.4163279530000001,8.0
8MGBA,central_nervous_system,glioma,F',8.0,,0.234952629,2.379003525,0.534466481,,8.0,2.2451395990000003,8.0,8.0,8.0,7.72138834,5.226619908,8.0,8.0,3.88834095,,0.31726998100000003,0.041985605,4.491486548999999,0.11275625199999999,0.0025,,8.0
A101D,skin,malignant_melanoma,M',,,,,,,,,,,,,,,,,,,,,,,,
A1207,central_nervous_system,glioma,NA',,,,,,,,,,,,,,,,,,,,,,,,
A172,central_nervous_system,glioma,M',8.0,0.508602798,0.267498583,2.530820608,4.5346083639999994,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.282938868,8.0,8.0,0.101367839,0.030916000000000003,3.6512174610000003,8.0
A204,soft_tissue,rhabdoid_tumour,F',8.0,0.166834161,0.029675882,2.659318924,0.639516056,8.0,8.0,1.636199594,8.0,0.530858815,8.0,8.0,7.3998327260000005,5.23065485,3.820780754,5.150311947,1.081994414,0.419383049,8.0,6.074995518,0.023814078,0.006528344,0.331275523,8.0
A2058,skin,malignant_melanoma,M',8.0,0.14522485400000001,0.042496935,4.927721977,5.625505447,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.202899247,8.0,5.513091087,8.0,0.306486487,8.0,8.0,0.06865990200000001,0.002863176,5.51097393,5.036472321000001
A253,salivary_gland,carcinoma,M',8.0,,0.339544863,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.083752848,8.0,8.0,0.063209683,0.0035669020000000003,2.6165273190000002,8.0
A2780,ovary,carcinoma,F',8.0,0.061784048,0.031109899,1.494494081,1.394972563,8.0,8.0,2.500407934,4.065729618,4.005534172,6.47111845,8.0,7.1466774939999995,0.064197071,3.04247117,6.50890398,6.804694176,0.06386264400000001,8.0,8.0,0.054937102,0.0046488829999999995,1.250309587,1.579616904
A375,skin,malignant_melanoma,F',8.0,0.146155894,0.169737235,1.073880553,3.6419744489999997,8.0,0.258287698,8.0,8.0,7.351113796,8.0,8.0,8.0,0.007476748,5.895261765,2.7554235460000003,8.0,0.324800313,8.0,8.0,0.046768632000000004,0.007149658000000001,0.6226772070000001,0.106830887
A3KAW,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,F',,,,,,,,,,,,,,,,,,,,,,,,
A498,kidney,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
A4FUK,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,F',,,,,,,,,,,,,,,,,,,,,,,,
A549,lung,carcinoma,M',8.0,0.41240021600000004,0.06676174,1.6377587319999998,3.827242613,8.0,8.0,8.0,8.0,6.775072098,8.0,8.0,4.227246284,0.171543315,5.782162189,1.954786897,6.038893700000001,0.938382328,8.0,8.0,0.04864376,0.004999789,0.99483645,2.122098207
A673,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,F',8.0,,0.198152512,1.243872643,8.0,8.0,8.0,4.943871975,8.0,8.0,8.0,8.0,8.0,8.0,2.269307852,1.127677202,,0.036970902,8.0,8.0,0.036663793,0.0025,0.8096916679999999,8.0
A704,kidney,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
ABC1,lung,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
ACCMESO1,pleura,mesothelioma,NA',,,,,,,,,,,,,,,,,,,,,,,,
ACHN,kidney,carcinoma,M',8.0,,0.678260922,2.960450411,5.099846363,,8.0,1.943827033,8.0,8.0,8.0,4.997091293,8.0,8.0,8.0,7.67290926,,0.10209295199999999,8.0,4.3729543689999995,0.045732774000000004,0.095161244,0.31764549,8.0
AGS,stomach,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDERCELLS,liver,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
ALLSIL,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,M',4.477983475,0.023089292999999997,0.714353621,0.92615211,2.595390558,8.0,6.943338871,0.845694423,8.0,2.664471388,0.33130097399999997,6.930338383,7.289489746,8.0,0.800736248,2.558496475,0.002952101,0.008664954,8.0,0.20943881600000003,0.007301721,0.0025,1.196254373,8.0
AM38,central_nervous_system,glioma,M',,,,,,,,,,,,,,,,,,,,,,,,
AML193,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,F',,,,,,,,,,,,,,,,,,,,,,,,
AMO1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,F',4.206129074,0.128391176,0.025441425,0.385257065,2.7257850169999998,8.0,8.0,3.8644027710000004,5.458399772999999,6.908653736000001,3.8801662919999997,8.0,0.256446651,0.7398852709999999,4.841135502,0.19450994800000002,2.226455688,0.064710945,8.0,8.0,0.013303595,0.006434356,2.381819248,8.0
AN3CA,endometrium,carcinoma,F',8.0,,0.074334152,8.0,4.424171925,7.054941653999999,8.0,1.5007056,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.924846172,8.0,8.0,0.11732211699999999,0.008545323,4.145510197,8.0
ASPC1,pancreas,carcinoma,F',8.0,0.792062342,0.072310209,1.224158168,4.859763145,8.0,8.0,2.9874043460000004,8.0,8.0,8.0,8.0,2.7856275189999997,0.138186365,5.588983536000001,1.427774787,8.0,2.35110116,8.0,8.0,0.037931632,0.016337321999999998,0.936409533,1.271577716
AU565,breast,carcinoma,F',8.0,,0.0233486,8.0,7.390176772999999,7.564302444,8.0,8.0,8.0,8.0,3.060067905,8.0,0.18320952399999998,8.0,8.0,8.0,7.8791947360000005,0.135726973,8.0,8.0,0.032399986,0.005203366,3.2956812380000002,8.0
AZ521,stomach,carcinoma,NA',8.0,0.048634049000000006,0.315617204,0.9139409070000001,1.569675088,8.0,8.0,2.488720179,2.131180048,7.777697562999999,4.039768219,2.9858446119999997,1.6599184280000001,4.413446426,0.339524834,1.152510881,8.0,0.21839889899999998,8.0,0.541442037,0.036733702,0.003324979,0.8989720940000001,8.0
BC3C,urinary_tract,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
BCP1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,M',,,,,,,,,,,,,,,,,,,,,,,,
BCPAP,thyroid,carcinoma,F',8.0,0.20065820199999998,0.21062938899999997,1.781927466,7.983978271000001,8.0,8.0,8.0,8.0,2.139413357,8.0,8.0,8.0,1.604760051,8.0,5.10525465,7.4560871120000005,0.376834154,8.0,8.0,0.08835746300000001,0.0025,0.7155837420000001,8.0
BDCM,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,M',8.0,,0.204344377,8.0,6.138787746,1.91660738,8.0,0.971398592,8.0,8.0,8.0,8.0,8.0,0.324745417,8.0,4.9726345510000005,8.0,0.089756981,8.0,0.625976443,0.083499774,0.0032388729999999998,7.147446156,0.46506145600000004
BECKER,central_nervous_system,glioma,M',,,,,,,,,,,,,,,,,,,,,,,,
BEN,lung,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
BFTC905,urinary_tract,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
BFTC909,kidney,carcinoma,M',8.0,,0.10465266599999999,7.229048729,6.792266369,8.0,8.0,8.0,8.0,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.281486571,8.0,8.0,0.084157817,0.012214486,8.0,8.0
BHT101,thyroid,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
BHY,upper_aerodigestive_tract,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
BICR16,upper_aerodigestive_tract,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
BICR18,upper_aerodigestive_tract,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
BICR22,upper_aerodigestive_tract,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
BICR31,upper_aerodigestive_tract,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
BICR56,upper_aerodigestive_tract,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
BICR6,upper_aerodigestive_tract,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
BJHTERT,skin,other,NA',,,,,,,,,,,,,,,,,,,,,,,,
BL41,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,M',8.0,0.048047400999999997,0.764389515,8.0,4.997859001,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.89598608,8.0,6.840538502,8.0,8.0,0.147502452,8.0,8.0,0.041184548,0.002803592,7.08644104,8.0
BL70,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,M',6.465454577999999,0.04605921,0.28438994300000003,8.0,3.4904124739999998,4.529109001,8.0,2.061688185,8.0,8.0,8.0,8.0,8.0,8.0,4.058927536000001,8.0,8.0,0.058189418,8.0,1.689039111,0.012748002,0.00982259,5.1812605860000005,8.0
BT20,breast,carcinoma,F',8.0,0.26911428600000004,8.0,7.626374722,8.0,8.0,8.0,3.663071632,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.101752639,8.0,7.055198202000001,0.057080079000000006,0.002542614,8.0,8.0
BT474,breast,carcinoma,F',6.84863472,,0.044726733,8.0,8.0,8.0,8.0,8.0,8.0,6.462950706,4.468088627,8.0,0.116183236,8.0,8.0,8.0,6.892540932,8.0,8.0,3.093749285,0.019058252,0.016556622,8.0,8.0
BT483,breast,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
BT549,breast,carcinoma,F',8.0,0.12476116400000001,0.020397235,5.395706654,3.9108049869999997,8.0,8.0,4.104511738,8.0,6.408694744,8.0,8.0,8.0,8.0,7.568719387000001,5.445250988,8.0,0.079294346,8.0,8.0,0.11480117599999999,0.005155943,1.155879736,8.0
BV173,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,M',,,,,,,,,,,,,,,,,,,,,,,,
BXPC3,pancreas,carcinoma,F',8.0,,0.18733622100000002,5.210793972,6.844848156,,3.000696659,8.0,8.0,8.0,8.0,8.0,4.599786282,0.252431244,8.0,2.82433486,,0.375695467,8.0,2.77215147,0.11038088800000001,0.010283806999999999,,8.0
C2BBE1,large_intestine,carcinoma,M',8.0,,0.777057707,1.563514233,8.0,8.0,8.0,1.45776093,8.0,8.0,8.0,8.0,4.09934473,8.0,8.0,3.098077059,6.82102108,4.397677898,8.0,0.985270083,0.054440595,8.0,8.0,8.0
C32,skin,malignant_melanoma,M',8.0,1.6368029119999998,0.006673546999999999,8.0,8.0,8.0,2.206977606,8.0,8.0,8.0,8.0,8.0,8.0,0.08952288300000001,8.0,6.354580878999999,8.0,0.277574718,8.0,8.0,0.5973054170000001,0.099929944,8.0,1.3601629730000002
C3A,liver,carcinoma,M',8.0,,0.027727798999999997,8.0,8.0,8.0,8.0,3.638047026,8.0,8.0,8.0,8.0,8.0,0.687534392,8.0,3.1949223960000004,,1.277745843,8.0,8.0,0.033166956000000004,8.0,3.510200024,8.0
CA46,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,M',,,,,,,,,,,,,,,,,,,,,,,,
CADOES1,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,F',,,,,,,,,,,,,,,,,,,,,,,,
CAKI1,kidney,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
CAKI2,kidney,carcinoma,M',8.0,2.417576313,0.420389295,8.0,7.215180874,8.0,8.0,2.70011282,8.0,8.0,8.0,5.182852745,8.0,3.0273191930000003,8.0,8.0,8.0,2.470702171,8.0,3.0291335580000003,0.102963939,0.012742911,0.915781975,8.0
CAL120,breast,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
CAL12T,lung,carcinoma,M',8.0,,0.183841035,0.690349579,1.186171651,,5.935973167,0.698800027,8.0,7.762419223999999,,0.595180452,1.951666355,0.309053719,3.5335180760000005,0.7954765559999999,,1.766121268,8.0,1.69527781,0.051543295,0.006088181,,3.317574024
CAL148,breast,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
CAL27,upper_aerodigestive_tract,carcinoma,M',8.0,,0.166818783,3.8463389869999998,7.20964098,8.0,8.0,0.465476006,8.0,8.0,8.0,0.247576982,0.688771248,0.13389010699999998,5.077645302,5.387672424,,0.119514093,8.0,1.180500031,0.051821172,0.002677772,2.656460762,0.437977016
CAL29,urinary_tract,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
CAL33,upper_aerodigestive_tract,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
CAL51,breast,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
CAL54,kidney,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
CAL62,thyroid,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
CAL78,bone,chondrosarcoma,M',8.0,0.285712391,0.099586673,3.5341694360000004,2.7398486139999996,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.80582571,5.521905899,8.0,0.523859501,8.0,8.0,0.080872677,0.005585133000000001,8.0,8.0
CAL851,breast,carcinoma,F',8.0,0.262406975,0.175339907,8.0,8.0,8.0,8.0,0.827255785,8.0,8.0,8.0,0.870514452,1.8995481730000001,0.679533243,8.0,2.28115654,8.0,0.609531581,5.117346764,1.580660701,0.028650077000000003,0.016368471000000002,0.650694251,3.014279604
CALU1,lung,carcinoma,M',8.0,1.8653107880000002,0.103493586,6.918637276,7.994287491000001,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.019465446,8.0,8.0,0.154305071,0.020688187,1.6761926409999999,8.0
CALU3,lung,carcinoma,M',8.0,,1.688857436,5.7182974820000005,8.0,8.0,8.0,2.22334528,8.0,8.0,8.0,3.225658417,0.4945876,3.0645174980000003,8.0,7.724710464,8.0,0.459127128,8.0,0.853420436,0.046347372000000005,8.0,8.0,8.0
CALU6,lung,carcinoma,F',8.0,,0.18347708899999998,0.77653265,6.327209473,,0.809417602,8.0,8.0,8.0,,7.807984352,8.0,0.162139654,3.92736125,2.4764399530000003,,0.9673332570000001,8.0,4.7059965130000005,0.075920977,0.0035132279999999998,,3.664028168
CAMA1,breast,carcinoma,F',8.0,0.345670938,0.141045213,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.585441588999999,8.0,8.0,8.0,8.0,8.0,6.332070827000001,8.0,8.0,8.0,0.029613037000000002,0.010846031,6.142372131,8.0
CAOV3,ovary,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
CAOV4,ovary,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
CAPAN1,pancreas,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
CAPAN2,pancreas,carcinoma,M',8.0,0.8755302429999999,0.046125766,0.671418905,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.077857971,0.214682548,0.432746449,0.062944786,1.211455703,8.0,1.103565097,0.068531349,0.002542614,1.161611546,0.503727555
CAS1,central_nervous_system,glioma,M',8.0,0.778563261,1.019528747,4.411480903999999,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.7450855969999999,8.0,8.0,0.095616966,0.025275866,8.0,8.0
CCFSTTG1,central_nervous_system,glioma,F',,,,,,,,,,,,,,,,,,,,,,,,
CCK81,large_intestine,carcinoma,NA',8.0,,0.263275087,2.169864178,8.0,,8.0,0.763310015,8.0,8.0,8.0,0.6846675870000001,0.240194838,0.719762087,8.0,2.329223689,,0.315985888,8.0,0.676471174,0.038146086,0.274032772,8.0,8.0
CFPAC1,pancreas,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
CGTHW1,thyroid,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
CH157MN,central_nervous_system,meningioma,NA',,,,,,,,,,,,,,,,,,,,,,,,
CHAGOK1,lung,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
CHL1,skin,malignant_melanoma,NA',8.0,0.265276551,0.165819794,3.2028465269999997,2.610424995,8.0,8.0,4.032824038999999,8.0,7.161293982999999,8.0,3.04977107,0.6759933229999999,8.0,8.0,7.182005882,8.0,0.603086352,8.0,6.063434601,0.018227296,0.007160429,0.267100275,8.0
CHP126,autonomic_ganglia,neuroblastoma,F',,,,,,,,,,,,,,,,,,,,,,,,
CHP212,autonomic_ganglia,neuroblastoma,NA',8.0,,0.029792815,2.156605005,3.84577161,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.005780043,3.521866798,1.5600354669999998,,0.685362101,8.0,3.336125612,0.013031741000000001,0.007673396999999999,3.013770342,0.011546331000000002
CI1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,F',8.0,0.034480847,0.479196012,8.0,0.139960798,1.749890969,8.0,2.47134757,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.042425834,8.0,8.0,0.042536777000000005,0.004356804000000001,0.20846401399999998,8.0
CJM,skin,malignant_melanoma,NA',,,,,,,,,,,,,,,,,,,,,,,,
CL11,large_intestine,carcinoma,NA',,,,,,,,,,,,,,,,,,,,,,,,
CL14,large_intestine,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
CL34,large_intestine,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
CL40,large_intestine,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
CMK,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,NA',,,,,,,,,,,,,,,,,,,,,,,,
CMK115,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,NA',,,,,,,,,,,,,,,,,,,,,,,,
CMK86,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,NA',4.51771307,0.126632199,0.322528064,0.8063774109999999,3.054647446,7.451811967,8.0,8.0,8.0,5.587008953,8.0,8.0,8.0,8.0,3.30917573,3.686611891,8.0,0.048435722,8.0,8.0,0.012335734,0.015314646999999999,8.0,8.0
CMLT1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,F',,,,,,,,,,,,,,,,,,,,,,,,
COLO201,large_intestine,carcinoma,M',8.0,,0.046831898,1.793434024,5.291865826,1.482443929,0.625659168,8.0,8.0,8.0,8.0,8.0,8.0,0.006378752,5.893179417000001,3.5827653410000004,8.0,0.675204515,8.0,8.0,0.033039317,0.015830603999999998,0.435073406,0.07659103
COLO205,large_intestine,carcinoma,M',8.0,,0.014756449,0.85494256,5.775238037,7.191390038,0.39423143899999996,8.0,8.0,3.55977869,6.495519161,8.0,8.0,0.00600136,3.6585726739999997,2.7014820580000003,8.0,0.06926268299999999,8.0,8.0,0.039255973,0.002542614,0.606281757,0.049389197999999995
COLO320,large_intestine,carcinoma,F',8.0,0.3590886,1.569168806,0.329955041,3.15993762,6.83245182,8.0,8.0,8.0,6.673327446,8.0,8.0,6.295311927999999,8.0,6.692833424,1.450278282,4.991260529,0.570157707,8.0,8.0,0.067029953,0.316520303,0.268899381,8.0
COLO668,lung,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
COLO677,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,M',8.0,0.237037167,0.23807355800000002,2.054227352,4.779874802,0.99950856,8.0,8.0,8.0,5.003313065,7.333292961000001,8.0,7.340506077000001,1.964872479,3.806427717,8.0,6.751279831000001,0.273624718,8.0,8.0,0.029264372,0.0025,2.923123121,8.0
COLO678,large_intestine,carcinoma,M',8.0,2.113509417,0.040361557,4.441536427,8.0,8.0,8.0,8.0,8.0,7.80582571,8.0,8.0,8.0,0.22778430600000002,8.0,7.851645947000001,8.0,2.79253912,8.0,8.0,0.149480119,8.0,6.978841305,8.0
COLO679,skin,malignant_melanoma,F',7.286690712,0.5789662,0.062656693,8.0,8.0,8.0,0.554165304,8.0,6.98195076,8.0,8.0,8.0,8.0,0.012509198000000001,8.0,8.0,7.3578925129999995,1.0321513409999998,8.0,8.0,0.029574396,0.008852645,0.66438055,0.12334336300000001
COLO680N,oesophagus,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
COLO684,endometrium,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
COLO704,ovary,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
COLO741,skin,malignant_melanoma,F',8.0,,1.4798501730000002,8.0,5.688858032000001,,4.03970623,8.0,8.0,8.0,8.0,7.229937077000001,8.0,0.21773561800000002,8.0,3.343924522,,0.49293404799999996,8.0,8.0,0.109763704,0.020055767,,2.675052404
COLO775,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,M',,,,,,,,,,,,,,,,,,,,,,,,
COLO783,skin,malignant_melanoma,F',,,,,,,,,,,,,,,,,,,,,,,,
COLO792,skin,malignant_melanoma,M',,,,,,,,,,,,,,,,,,,,,,,,
COLO800,skin,malignant_melanoma,NA',,,,,,,,,,,,,,,,,,,,,,,,
COLO818,skin,malignant_melanoma,NA',,,,,,,,,,,,,,,,,,,,,,,,
COLO829,skin,malignant_melanoma,M',,,,,,,,,,,,,,,,,,,,,,,,
COLO849,skin,malignant_melanoma,M',,,,,,,,,,,,,,,,,,,,,,,,
CORL105,lung,carcinoma,M',8.0,,0.887269139,8.0,8.0,,8.0,2.966778755,8.0,8.0,8.0,1.6929615740000001,8.0,1.19507885,8.0,8.0,,3.35720396,8.0,8.0,0.270610809,0.126990631,5.65053606,8.0
CORL23,lung,carcinoma,M',8.0,0.49182218299999997,0.6089887620000001,7.618295193,8.0,8.0,8.0,8.0,8.0,4.65459013,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.03082037,8.0,8.0,0.124227591,0.031955611,6.441958427,8.0
CORL24,lung,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
CORL279,lung,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
CORL311,lung,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
CORL47,lung,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
CORL51,lung,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
CORL88,lung,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
CORL95,lung,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
COV318,ovary,carcinoma,F',8.0,1.230852246,8.0,4.677239895,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.686830521,2.08240962,8.0,8.0,0.158059701,8.0,8.0,8.0
COV362,ovary,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
COV434,ovary,sex_cord-stromal_tumour,F',,,,,,,,,,,,,,,,,,,,,,,,
COV504,ovary,carcinoma,F',8.0,,0.347438395,2.071975231,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.504933834,8.0,1.967409611,8.0,8.0,0.10595974300000001,0.01918957,1.805347562,8.0
COV644,ovary,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
CPCN,lung,carcinoma,NA',,,,,,,,,,,,,,,,,,,,,,,,
CW2,large_intestine,carcinoma,NA',,,,,,,,,,,,,,,,,,,,,,,,
D283MED,central_nervous_system,primitive_neuroectodermal_tumour-medulloblastoma,M',,,,,,,,,,,,,,,,,,,,,,,,
D341MED,central_nervous_system,primitive_neuroectodermal_tumour-medulloblastoma,M',,,,,,,,,,,,,,,,,,,,,,,,
DANG,pancreas,carcinoma,NA',,,,,,,,,,,,,,,,,,,,,,,,
DAOY,central_nervous_system,primitive_neuroectodermal_tumour-medulloblastoma,M',8.0,0.189579859,0.47791683700000004,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.090712041,8.0,8.0,0.037284594,0.010945285,8.0,8.0
DAUDI,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,M',,,,,,,,,,,,,,,,,,,,,,,,
